ref	value	footprint
C1	100nF	~
C2	100nF	~
C3	1uF	~
C4	100nF	~
C5	22uF - 50V	~
C6	100nF	~
C7	22uF - 10V	~
C8	100nF	~
D1	RS3J	~
D2	SMAJ18CA	~
D3	1N4007	~
F1	FUSE	~
K1	CONN_3	~
L1	47uH	~
P1	CONN_2	~
P2	CONN_4	~
P3	CONN_2	~
P4	CONN_2	~
P5	CONN_8	~
P6	CONN_6	~
P7	CONN_10	~
P8	CONN_8	~
Q1	BSS138	SOT-23
Q2	BSS138	SOT-23
R1	1MEG	~
R2	330R	~
R3	820K 0.1%	~
R4	220K 0.1%	~
R5	330R	~
U1	OKI-78SR-5/1.5-W36-C	~
